symbol,security,gics_sector,gics_industry,country,region,report_url,report year,annual carbon emissions (tonnes co₂),annual water consumption (cubic meters),renewable energy usage (mwh),sustainable materials usage ratio (percent),waste recycling rate (percent)
SMIN.L,Smiths Group,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/LSE_SMIN_2015.pdf,2015,97000.0,403000.0,,,
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2018.pdf,2018,2489.0,115.3,36580.0,,37.8
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2019.pdf,2019,1667.0,107.0,51.4,,57.4
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2009.pdf,2009,243000.0,,,,
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2014.pdf,2014,2647.0,121.0,,,
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2013.pdf,2013,1728.0,91.0,,,55.4
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2022.pdf,2022,2541.0,141.1,37506.0,,70.1
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2012.pdf,2012,2773.0,126.0,31936.0,,
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2020.pdf,2020,2545.0,144.3,,,46.0
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2010.pdf,2010,2878.0,127.0,32524.0,,
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2015.pdf,2015,2607.0,120.0,35232.0,,
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2016.pdf,2016,2683.0,121.0,36013.0,,
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2017.pdf,2017,2670.0,119.0,37157.0,,38.2
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2011.pdf,2011,2852.0,122.0,32779.0,,
SKG.L,Smurfit Kappa,Industrials,General Industrials,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/smurfit-kappa_2021.pdf,2021,2500.0,140.1,37363.0,,51.9
SPX.L,Spirax-Sarco Engineering,Industrials,Industrial Engineering,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/LSE_SPX_2019.pdf,2019,,212027.0,,,79.0
SSE.L,SSE plc,Industrials,Electrical Utilities & Independent Power Producers,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/S/LSE_SSE_2016.pdf,2016,13066.0,28800000000.0,,,
SSE.L,SSE plc,Industrials,Electrical Utilities & Independent Power Producers,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/S/LSE_SSE_2021_9d0f8a5b74b1401289b47de7c3beb40f.pdf,2021,7640000.0,3600000.0,90360.0,,55.0
SSE.L,SSE plc,Industrials,Electrical Utilities & Independent Power Producers,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/S/LSE_SSE_2022_675acb4466034ee2b2509f63fd336ae9.pdf,2022,6240000.0,800000.0,,,
SSE.L,SSE plc,Industrials,Electrical Utilities & Independent Power Producers,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/S/LSE_SSE_2017.pdf,2017,19395.0,22700000000.0,30.0,,
SSE.L,SSE plc,Industrials,Electrical Utilities & Independent Power Producers,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/S/LSE_SSE_2019.pdf,2019,,5600000.0,,,
SSE.L,SSE plc,Industrials,Electrical Utilities & Independent Power Producers,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/S/LSE_SSE_2018.pdf,2018,21609.0,8000000.0,,,
TSCO.L,Tesco,Consumer Staples,Food & Drug Retailing,GB,Europe,https://www.tescoplc.com/media/1184/tesco_and_society_review_2014.pdf,2014,6370000.0,,,,
