symbol,security,gics_sector,gics_industry,country,region,report_url,report_year
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2021.pdf,2021.0
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2017.pdf,2017.0
AFL,AFLAC Inc,Financials,Life & Health Insurance,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2015.pdf,2015.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2019.pdf,2019.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2007.pdf,2007.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2000.pdf,2000.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2022.pdf,2022.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2001.pdf,2001.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2014.pdf,2014.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2009.pdf,2009.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2020.pdf,2020.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2003.pdf,2003.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2013.pdf,2013.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2005.pdf,2005.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2017.pdf,2017.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2015.pdf,2015.0
